account	period	atr	rr	model	threshold	min_conf	kept	pnl	pf	wr	max_dd_pct	avg_pnl	avg_r
C	2024-01-01	2.0	1.5	UNFILTERED	—	0.45	417	-53.54699999999797	0.9927777310203516	0.4196642685851319	43.926821461108354	-0.12841007194244117	0.7073592440020893
C	2024-01-01	2.0	1.5	V4	0.65	0.45	191	113.46199999999682	1.0306253772096785	0.4397905759162304	42.21770165464893	0.5940418848167373	6.043791583300916
C	2024-01-01	2.0	2.0	UNFILTERED	—	0.45	380	-1006.7180000000045	0.8562259259137597	0.3631578947368421	100.56329714133865	-2.649257894736854	-2.333085160274805
C	2024-01-01	2.0	2.0	V4	0.65	0.45	174	-256.31200000000405	0.9300030968697572	0.40804597701149425	60.89174774691411	-1.4730574712643911	7.617708197546603
C	2024-01-01	2.0	2.5	UNFILTERED	—	0.45	363	-39.43599999999648	0.9941297760693262	0.3443526170798898	46.547909469710376	-0.10863911845729059	-0.9493105072456994
C	2024-01-01	2.0	2.5	V4	0.65	0.45	163	545.3319999999994	1.158006104884052	0.3803680981595092	28.926267531203674	3.3455950920245363	9.427165660403954
C	2024-01-01	2.0	3.0	UNFILTERED	—	0.45	340	1187.0459999999966	1.196906939116477	0.36470588235294116	38.170036069127114	3.4913117647058725	7.617161876754917
C	2024-01-01	2.0	3.0	V4	0.65	0.45	142	1479.4129999999957	1.4975636612883783	0.4225352112676056	19.85623617022933	10.418401408450674	35.19900714313962
C	2024-01-01	2.5	1.5	UNFILTERED	—	0.45	355	339.72300000000365	1.051830933053829	0.43380281690140843	47.16839183545855	0.9569661971831088	0.5101125301720072
C	2024-01-01	2.5	1.5	V4	0.65	0.45	163	866.8890000000036	1.2610953373003635	0.5153374233128835	28.41926612410523	5.318337423312906	19.37874624667647
C	2024-01-01	2.5	2.0	UNFILTERED	—	0.45	333	-760.9860000000024	0.8876624366834799	0.3813813813813814	88.50801466750234	-2.2852432432432503	-3.7806588300245987
C	2024-01-01	2.5	2.0	V4	0.65	0.45	152	685.882999999998	1.2045265937382115	0.48026315789473684	34.545109353361056	4.512388157894724	21.670496486745286
