account	period	model	threshold	kept	pnl	pf	wr	max_dd_pct	avg_pnl	avg_r
D	2025-10-01	V6	0.45	24	37.794999999997344	1.0399411160474594	0.3333333333333333	28.131775014310616	1.574791666666556	-8.005063008062388
D	2025-10-01	V6	0.50	32	-372.3310000000033	0.7462575595049041	0.3125	48.001431543159	-11.635343750000104	-9.911118048146996
D	2025-10-01	V6	0.55	36	-562.1710000000026	0.6607701674754604	0.2777777777777778	61.192218748642944	-15.615861111111181	-19.920993820575106
D	2025-10-01	V6	0.60	39	-512.1340000000023	0.7045794358020635	0.28205128205128205	59.45383947953702	-13.131641025641084	-15.502307558260924
D	2025-10-01	V6	0.65	41	-252.40400000000272	0.854402691315522	0.3170731707317073	43.28664596673819	-6.156195121951286	-2.5507375804956425
D	2025-10-01	V4+v6-OR	0.45	10	394.63999999999805	2.252197310555331	0.5	9.679412619947705	39.46399999999981	42.89599559511928
D	2025-10-01	V4+v6-OR	0.50	15	472.5739999999978	1.9634280844748184	0.4666666666666667	10.939230722060671	31.504933333333188	42.28422800538911
D	2025-10-01	V4+v6-OR	0.55	22	111.43899999999758	1.1268705144085365	0.36363636363636365	18.502101536629525	5.065409090908981	7.382106304661762
D	2025-10-01	V4+v6-OR	0.60	24	35.06099999999787	1.0367228561313666	0.3333333333333333	19.870546303579157	1.460874999999911	1.0402990558238792
D	2025-10-01	V4+v6-OR	0.65	27	-186.11400000000322	0.8590777823040427	0.3333333333333333	40.89922399004144	-6.893111111111231	2.7767220280084164
D	2024-01-01	UNFILTERED	—	319	-579.569000000002	0.9140282514478838	0.3667711598746082	77.63973639518991	-1.8168307210031411	-2.681755285772515
D	2024-01-01	V4	0.45	91	1538.1009999999987	1.772492727594159	0.5164835164835165	19.52229790036511	16.90220879120878	47.05427367268394
D	2024-01-01	V4	0.50	108	1673.6899999999987	1.7274955131640652	0.49074074074074076	18.672461076833088	15.497129629629617	42.261893103828235
D	2024-01-01	V4	0.55	124	1516.2749999999978	1.5433111748442376	0.4838709677419355	19.346486082556126	12.22802419354837	37.78186993536825
D	2024-01-01	V4	0.60	135	1335.1579999999994	1.4418312748417952	0.45925925925925926	20.547235431654062	9.890059259259255	30.029101304396985
D	2024-01-01	V4	0.65	149	903.6689999999976	1.2500741641862245	0.436241610738255	33.26571105058186	6.064892617449648	24.858501601903182
D	2024-01-01	V5	0.45	154	382.02899999999636	1.1152542853539806	0.36363636363636365	42.268596129956656	2.4807077922077685	4.988033222652012
D	2024-01-01	V5	0.50	158	343.12199999999666	1.1006871287198432	0.36075949367088606	41.96923501968253	2.1716582278480803	4.545225271493177
D	2024-01-01	V5	0.55	163	310.5799999999972	1.0886393609792162	0.3619631901840491	42.649101236018325	1.9053987730061177	4.389620001114154
D	2024-01-01	V5	0.60	166	398.7649999999967	1.1114931949070976	0.3614457831325301	44.251076236542275	2.402198795180703	4.367980232189494
D	2024-01-01	V5	0.65	168	361.27999999999656	1.0999648319028588	0.35714285714285715	45.124719539043404	2.1504761904761702	3.6863479716908847
D	2024-01-01	V6	0.45	89	444.569	1.2462519566929702	0.4157303370786517	23.512827598473976	4.995157303370787	17.502674044730306
D	2024-01-01	V6	0.50	129	-247.68300000000133	0.9146159470575638	0.3643410852713178	46.01683105938959	-1.9200232558139638	2.608705373848759
D	2024-01-01	V6	0.55	172	-650.076	0.8230043004926711	0.3430232558139535	73.45813248785444	-3.779511627906977	-5.310811594998298
D	2024-01-01	V6	0.60	208	-513.4339999999984	0.8756675404556217	0.3605769230769231	66.3999745876009	-2.4684326923076845	-1.684762381322916
D	2024-01-01	V6	0.65	236	-174.54099999999946	0.9605387624064572	0.3771186440677966	41.96272070905314	-0.739580508474574	2.2144417380662023
D	2024-01-01	V4+v6-OR	0.45	37	786.0280000000002	2.3061044081946003	0.5405405405405406	7.535421859118481	21.244000000000007	56.40123339503976
D	2024-01-01	V4+v6-OR	0.50	55	904.5650000000005	1.9473878795432342	0.4909090909090909	8.192223404193486	16.446636363636372	41.828951065236105
D	2024-01-01	V4+v6-OR	0.55	77	673.4490000000001	1.444839373412642	0.4675324675324675	13.102523972179489	8.74609090909091	32.49301800558543
D	2024-01-01	V4+v6-OR	0.60	99	750.2570000000019	1.4191618740285772	0.47474747474747475	12.789421863820035	7.578353535353554	31.140600737293706
D	2024-01-01	V4+v6-OR	0.65	120	516.4000000000001	1.2103195031833023	0.44166666666666665	26.491663532656425	4.303333333333334	25.69100408304018
